genes	4438	4460	4474	4501	4510	4520	DC1MINUS	DC2MINUES	DC2PLUS	DC4MINUS	DC4PLUS	MischiefMinus	MischiefPlus	X2654MINUS	X2654PLUS
LOC102901884	0	0	0	0	2	1	0	0	0	0	0	18	21	0	0
LOC111559868	0	0	1	0	3	0	0	0	0	0	0	58	55	0	0
LOC102901923	0	0	0	0	0	0	0	0	0	0	0	21	4	0	0
LOC111556986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC109492563	0	0	0	0	5	0	0	0	0	0	0	68	46	0	0
LOC109498248	0	1	0	1	7	0	0	0	0	0	0	16	25	0	0
LOC109498249	0	1	1	1	4	3	0	0	0	0	0	18	22	0	0
LOC111556964	0	0	0	0	1	0	0	0	0	0	0	1	6	0	0
LOC111556987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111556764	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0
PCDH17	50	135	53	58	76	303	14	17	15	12	13	140	228	14	19
LOC111559874	3	2	3	0	9	6	0	0	0	0	0	31	43	0	1
LOC111559877	22	25	14	10	11	7	30	45	27	0	1	65	101	0	0
LOC111559879	0	1	0	0	1	0	0	0	1	0	0	14	7	0	0
LOC109498269	0	0	0	1	1	0	0	0	0	0	0	3	8	0	0
DIAPH3	58	47	69	51	45	46	46	2	2	26	34	196	207	3	2
LOC109498288	1	0	0	2	3	0	0	0	0	0	0	14	10	0	0
TDRD3	773	591	840	494	209	375	310	292	229	456	660	160	126	203	192
LOC111557080	0	0	0	0	0	0	0	0	0	0	0	12	5	0	0
LOC109492570	0	1	1	0	0	0	0	0	0	0	0	14	23	0	0
PCDH20	1	3	0	2	5	0	4	1	4	3	1	42	77	5	0
LOC109498314	0	0	0	0	0	0	0	0	0	0	0	17	13	0	0
LOC109492573	0	0	1	0	0	1	0	0	0	0	0	27	31	0	0
LOC111556957	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
LOC111556975	0	0	0	0	0	0	0	0	0	0	0	8	8	0	0
LOC111559890	2	0	0	1	4	1	0	0	0	0	0	9	15	0	0
LOC109498326	1	0	0	1	6	0	0	0	0	0	0	59	48	0	0
LOC111556747	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC109492581	3	0	0	0	1	0	0	0	1	0	0	19	8	0	2
LOC111559810	0	0	0	0	1	0	0	0	0	0	0	3	5	0	0
PCDH9	96	93	50	92	41	124	1420	3491	2785	1650	1883	117	156	1586	1851
LOC109498345	0	2	5	1	6	2	2	14	12	6	3	65	97	1	5
LOC109492584	2	0	0	0	1	0	0	0	0	0	1	20	42	0	0
LOC109492592	0	0	1	0	0	0	0	0	0	0	0	1	7	0	0
LOC111557037	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0
LOC101100024	1	0	0	0	2	1	0	0	0	0	0	16	22	0	0
LOC111559836	1	0	0	0	1	0	0	0	0	0	0	7	8	0	0
KLHL1	2	5	2	4	7	0	0	0	0	2	1	56	74	1	0
LOC111556923	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0
DACH1	37	37	42	37	26	37	1	0	0	0	0	102	166	0	1
LOC109492597	0	0	1	1	0	0	0	0	0	0	0	6	12	0	0
MZT1	804	877	817	350	183	591	1130	1287	950	1216	1539	75	60	582	734
BORA	380	449	387	212	92	358	85	72	51	84	131	107	96	56	67
DIS3	1040	1014	940	466	188	758	636	731	553	812	1051	173	132	354	494
PIBF1	317	328	328	234	99	267	263	439	309	342	524	43	40	193	236
KLF5	133	86	95	107	42	89	78	99	104	61	81	59	76	228	282
LOC109498494	0	0	0	0	1	0	0	0	0	0	0	19	20	1	0
KLF12	1550	1236	1203	830	325	830	912	842	632	1136	1389	183	219	443	544
LOC109498474	81	38	58	58	25	12	8	7	3	6	6	91	98	2	3
LOC109498477	18	6	25	30	12	17	5	4	1	8	9	16	5	3	4
LOC109498473	0	1	2	2	12	5	8	24	10	12	12	56	99	9	8
TBC1D4	1983	3019	1789	1185	456	1663	2319	1996	1639	2702	3244	164	190	1437	1779
UCHL3	314	323	346	163	64	278	2164	2397	1996	2786	3771	88	92	1508	1915
COMMD6	159	183	177	83	32	139	366	420	357	424	501	25	32	218	263
LMO7	24	23	32	12	33	33	5768	11293	9126	4247	5373	287	317	8800	9851
LOC109498550	0	0	1	3	4	0	16	17	16	8	10	25	23	17	22
LOC109498616	0	0	1	0	3	0	6	8	9	0	1	27	29	12	8
LOC109498606	1	0	0	1	1	0	3	2	0	0	0	22	33	0	4
LOC111556749	0	0	0	0	1	0	0	0	0	0	0	2	11	0	0
LOC111560078	2	1	4	0	4	0	0	0	0	0	0	46	45	0	0
LOC111559858	3	3	0	2	10	4	1	1	0	0	2	47	51	0	0
KCTD12	4780	2239	5761	2661	1800	3752	4590	3733	2791	4994	6802	84	81	790	894
ACOD1	7	0	11	3	12	12	0	0	0	0	1	67	82	0	0
CLN5	1383	888	1358	552	279	822	2199	2908	2235	2261	3074	146	126	1623	2143
FBXL3	1989	1539	1403	691	297	1089	1355	1502	1198	1352	1759	93	67	751	985
LOC109498698	104	87	108	92	46	61	45	20	33	27	31	76	112	7	36
MYCBP2	7843	8190	6840	4861	2153	6001	6036	7966	6336	7344	9511	952	909	7818	9018
SCEL	83	8	29	34	24	3	22	28	10	19	22	185	193	42	46
LOC109498704	0	0	1	0	2	0	0	1	0	0	2	7	4	0	0
SLAIN1	909	1209	954	472	156	714	1	3	1	0	0	131	103	1	1
EDNRB	4	1	4	8	9	1	410	479	404	304	464	123	135	2150	2542
LOC109492603	0	2	0	0	1	0	0	0	0	0	0	4	3	0	1
LOC109498710	0	1	3	2	18	2	0	0	0	1	0	99	170	0	0
POU4F1	4	15	1	4	6	1	1	0	0	0	1	28	41	0	0
RNF219	491	611	428	207	106	344	633	675	505	667	950	97	99	383	424
LOC109498732	39	36	46	25	15	26	2	2	3	3	1	26	51	2	4
LOC109498727	2	7	2	2	1	0	3	4	5	1	5	72	77	1	0
LOC109498734	2	1	1	1	12	1	0	0	0	0	0	66	84	0	0
RBM26	2968	2262	2258	1486	593	1552	945	1081	815	1113	1463	336	273	527	727
NDFIP2	2944	3524	3247	1688	744	2755	1982	1911	1492	1974	2638	238	158	1276	1546
LOC109498753	30	6	13	19	8	4	1	0	1	1	1	33	36	0	2
LOC109498754	1	0	1	1	3	2	0	0	0	0	0	52	66	0	0
LOC109498764	0	0	0	1	3	1	0	0	0	0	0	19	25	0	0
LOC109498761	1	1	2	2	10	2	0	0	0	0	0	16	13	0	0
LOC109492605	0	0	1	0	0	0	0	0	0	0	0	11	11	0	0
LOC109498776	0	0	0	0	3	0	1	0	1	1	5	11	16	2	2
SPRY2	17	12	23	9	2	8	368	517	452	300	396	42	36	330	381
LOC111560110	3	0	2	3	4	2	21	22	15	9	10	40	43	33	27
LOC111556774	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
LOC109498777	0	1	0	0	2	0	0	0	0	0	0	14	7	0	0
LOC109492609	0	0	0	1	1	1	0	0	0	0	0	12	10	0	0
LOC109498787	0	0	0	0	5	1	0	0	0	0	0	18	18	0	0
LOC109498786	2	1	1	2	10	3	0	0	0	0	0	22	13	0	0
LOC111556984	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0
LOC111556727	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
LOC111560115	1	1	0	1	7	3	0	0	0	0	0	51	48	0	0
SLITRK1	0	0	0	2	4	0	0	0	0	0	0	65	59	0	0
LOC111560117	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0
LOC111556999	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
LOC111560056	0	0	1	0	0	0	0	1	0	0	0	2	5	0	0
SLITRK6	4	1	1	3	4	1	1	5	18	0	1	34	53	2	3
LOC111560120	0	0	0	0	3	1	0	0	0	0	0	12	11	0	0
LOC109498813	3	3	1	2	14	1	0	0	0	0	1	23	24	0	0
SLITRK5	5	0	1	0	13	3	10	3	1	8	3	108	147	0	0
LOC101093984	0	1	2	0	1	1	1	0	0	0	0	12	9	0	0
LOC111556882	0	0	0	0	1	0	0	0	0	0	0	4	3	0	0
LOC109498814	0	0	0	0	0	0	0	0	0	0	0	24	44	0	0
LOC111560123	0	0	1	0	1	0	0	0	0	0	0	24	30	0	0
LOC109492621	1	0	0	2	3	0	0	0	0	0	0	16	28	0	0
GPC5	4	5	9	3	11	2	0	1	1	1	0	107	163	0	0
LOC111556710	0	0	1	0	1	0	0	0	0	0	0	0	7	0	0
LOC111556930	1	0	0	0	2	1	0	0	0	0	0	0	1	0	0
GPC6	4	3	4	3	9	7	2550	6746	5617	4070	5394	189	232	3421	4038
LOC109498840	2	3	1	3	20	2	14	25	17	18	16	86	119	7	10
DCT	2	1	3	1	11	1	0	0	0	0	0	72	127	0	0
TRNAF-GAA	1	1	1	1	0	5	2	3	3	1	3	6	4	0	0
TGDS	503	316	431	154	79	209	294	333	256	326	474	51	67	164	185
GPR180	509	398	324	192	85	239	426	411	299	662	842	241	262	247	362
LOC111560128	14	0	5	4	34	0	0	0	0	0	2	202	163	0	0
SOX21	0	3	2	0	1	0	1	1	0	1	2	29	42	3	0
LOC111556548	1	1	0	5	5	3	0	2	1	2	1	53	61	2	0
LOC109498853	1	0	1	0	0	1	0	0	0	0	0	33	29	0	0
LOC109498862	0	0	2	0	8	0	0	0	0	0	0	19	31	0	0
ABCC4	182	503	225	136	107	236	462	531	419	841	1260	296	306	315	386
LOC111560130	0	0	1	1	1	0	0	1	0	0	1	10	21	0	0
CLDN10	0	0	1	2	5	2	2	1	0	4	1	43	79	0	1
DZIP1	1	1	3	8	11	1	2460	2646	2188	2827	4320	156	179	2633	3192
DNAJC3	2872	2911	3118	1400	692	2189	6217	6504	5514	6432	8300	322	241	4360	5446
LOC109498873	24	10	23	21	14	9	5	4	5	4	6	24	41	4	5
UGGT2	8	2	4	6	19	2	3674	4301	3540	3880	5408	164	181	1902	2357
HS6ST3	5	4	0	6	16	1	0	2	1	0	0	163	225	3	0
LOC109498887	3	3	1	1	8	0	0	1	0	0	0	48	49	0	0
OXGR1	0	0	1	1	5	1	0	0	0	0	0	68	71	0	0
LOC111556794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MBNL2	2679	3803	3554	2261	580	1985	3564	3752	3197	3881	5109	196	187	2401	2990
LOC111560143	86	65	76	82	35	37	16	7	4	15	8	78	76	6	12
RAP2A	2045	2381	2251	1080	388	1413	1394	1661	1347	1897	2458	359	237	1391	1835
IPO5	4055	2965	3846	2136	698	2786	18906	18242	14842	23076	30428	638	427	12938	16801
FARP1	154	94	147	110	76	90	3462	2658	2243	4122	5241	164	204	1856	2296
LOC111560147	0	0	1	0	1	0	5	0	1	0	0	4	7	1	1
LOC109498918	17	10	13	13	19	13	15	3	6	14	11	63	73	0	8
STK24	5574	5345	5960	4935	1525	4609	1214	1062	890	1406	2034	317	246	929	1033
LOC109492627	0	0	1	0	0	0	0	0	0	0	0	19	30	0	0
SLC15A1	10	3	3	1	8	1	1	0	0	0	0	183	222	0	0
DOCK9	2175	2595	2111	1320	509	1420	1015	1967	1576	1246	2000	622	526	1416	1609
LOC109498988	23	8	12	23	24	7	3	3	2	1	3	67	78	0	3
LOC111560153	2	3	3	3	7	5	2	2	1	1	0	91	138	0	1
UBAC2	2336	2730	2108	791	456	1536	1047	1193	993	1133	1416	209	238	970	1321
GPR18	546	420	215	152	93	301	4	5	2	2	1	69	49	2	3
LOC101101025	3299	2955	2873	1036	492	2107	8	0	8	1	2	36	36	1	0
TM9SF2	2148	2042	2049	1000	511	1645	6700	7540	6155	6526	8513	198	148	4949	6163
CLYBL	131	153	173	90	47	109	197	267	206	266	422	157	151	210	253
LOC109499019	6	2	4	5	4	2	2	0	0	0	0	39	45	0	1
LOC111556737	0	1	1	0	1	0	0	0	0	1	0	2	8	0	0
ZIC5	3	2	1	0	9	1	0	0	0	0	0	41	39	0	0
LOC111560162	3	1	2	2	18	1	0	1	0	0	1	59	60	0	2
ZIC2	1	1	0	1	1	2	0	0	0	0	2	34	40	0	0
LOC109499045	1	1	0	0	1	1	0	0	0	0	0	37	45	0	0
PCCA	643	702	534	358	186	337	437	550	419	538	751	167	138	448	539
GGACT	357	353	301	217	139	257	168	275	198	285	349	182	171	206	245
LOC102901352	29	16	10	26	11	18	3	2	3	0	3	15	12	1	2
TMTC4	166	152	160	72	49	141	745	649	524	631	828	106	129	1319	1610
LOC111557002	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0
LOC109499053	2	2	2	1	1	1	0	0	0	2	0	35	49	0	1
NALCN	1	2	5	7	27	3	5	6	4	2	6	295	348	125	135
ITGBL1	1	1	0	1	2	2	99	56	35	31	39	64	70	4349	4964
FGF14	0	1	2	2	7	0	8	2	0	12	3	180	178	197	205
TPP2	3055	2275	3028	2392	812	2317	1627	1804	1518	2052	2905	335	354	1140	1409
LOC111560175	19	11	9	28	6	16	2	2	1	1	4	15	22	1	3
METTL21C	12	7	12	13	12	11	1	0	0	0	0	67	72	1	0
CCDC168	206	178	129	64	73	109	7	9	6	28	20	401	455	8	8
TEX30	832	1108	742	265	145	636	180	170	141	260	411	90	63	116	127
LOC109499075	33	81	43	2	7	13	4	1	3	11	8	26	19	0	5
LOC109499083	3	7	4	3	2	1	1	1	0	2	3	16	20	1	0
KDELC1	320	432	298	131	68	240	654	775	604	1036	1394	123	98	464	517
LOC101085685	2080	2345	2040	882	406	1604	1522	1866	1404	1805	2394	316	286	1201	1577
LOC101085945	8	2	8	3	6	5	16	30	27	15	10	39	62	9	18
SLC10A2	1	0	0	3	4	0	0	1	0	2	1	58	85	0	0
LOC109499097	0	0	0	0	0	0	0	0	0	0	0	46	31	0	0
LOC109499098	4	1	1	2	16	3	0	0	0	1	0	28	30	0	0
LOC111560119	0	1	1	0	5	2	1	0	0	0	0	17	25	0	0
LOC109499113	1	1	0	2	6	1	0	0	0	0	0	26	40	1	0
LOC109499114	0	0	0	0	1	0	0	0	0	0	0	10	25	0	0
LOC109492637	1	0	0	0	1	0	0	0	0	0	0	0	5	0	0
EFNB2	20	19	16	16	15	20	988	1992	1718	2126	2825	110	97	554	683
LOC109499129	4	0	2	5	5	0	6	12	2	9	8	34	31	2	2
ARGLU1	3410	3118	2855	1198	573	2112	1265	1258	1007	1430	1705	862	480	731	982
LOC111557028	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
LOC109492638	0	1	0	1	2	0	0	0	0	0	0	9	5	0	0
FAM155A	4	5	3	0	12	0	2	1	0	1	1	56	94	0	2
LOC109492640	0	0	0	0	1	0	0	0	0	0	0	16	7	0	0
LIG4	348	450	377	183	80	244	586	725	573	767	939	110	120	398	452
ABHD13	992	987	835	383	163	639	610	663	545	651	963	144	127	406	489
TNFSF13B	185	202	283	70	62	110	1	0	0	1	3	28	51	0	1
MYO16	8	3	4	5	24	4	18	5	4	30	40	248	264	0	3
LOC109499157	2	1	1	0	8	0	0	0	0	1	0	42	63	0	0
LOC109492647	0	0	0	1	7	0	0	0	0	0	0	30	20	0	0
LOC109499163	1	0	0	0	2	0	0	0	0	0	0	33	30	0	0
LOC109499166	1	1	1	3	6	1	0	0	0	0	0	28	25	0	0
LOC109499170	0	1	0	3	6	0	0	0	0	0	0	27	27	0	0
IRS2	1310	1367	1172	765	272	1071	532	1524	1295	974	1115	75	71	328	545
LOC109499171	39	11	39	31	7	35	0	0	3	4	2	27	44	1	5
LOC109492654	1	0	1	0	1	4	1	2	0	0	1	22	29	1	0
COL4A1	39	7	6	13	51	13	47734	39913	35075	72166	81261	286	332	12865	15739
COL4A2	55	22	10	12	48	7	27798	23783	20984	40488	45030	331	387	9888	11406
LOC102899513	1	0	1	1	2	0	1	2	0	5	5	29	35	1	3
RAB20	108	50	112	70	32	82	7	4	7	10	13	30	34	5	4
LOC109499192	0	0	0	0	1	0	0	0	0	1	0	9	7	0	0
NAXD	914	788	758	400	186	602	368	501	407	429	462	49	63	330	338
CARS2	332	261	291	253	57	224	320	422	336	414	507	135	114	294	338
ING1	1092	1156	949	587	235	730	655	1334	1110	845	1066	146	111	457	562
ANKRD10	1231	1158	1215	790	278	990	466	620	497	623	802	96	95	346	378
LOC109499207	17	5	14	5	21	12	4	8	9	5	15	43	46	11	11
LOC109499197	15	11	9	5	5	6	0	0	0	0	0	67	58	0	0
ARHGEF7	3492	3515	4480	3178	1121	3370	1829	1780	1501	2346	2983	560	420	1274	1398
LOC102899894	22	7	16	30	18	10	4	0	3	3	5	23	33	0	2
TEX29	6	3	5	6	5	9	2	0	0	2	2	26	27	1	0
LOC111560204	0	2	2	0	3	1	0	0	1	0	0	10	20	0	0
LOC109499233	0	0	0	0	1	2	0	0	0	1	0	35	28	0	0
LOC109499227	5	2	1	6	12	0	0	0	2	0	0	50	66	1	0
SOX1	3	1	2	0	7	1	0	0	0	1	0	39	28	0	0
LOC109492657	0	3	0	2	4	6	0	0	0	0	0	61	42	0	0
SPACA7	2	1	1	1	1	2	0	0	0	0	0	28	23	0	0
TUBGCP3	1468	1194	1201	840	320	904	1373	1629	1397	1842	2139	448	354	783	903
LOC109492658	4	1	1	0	7	1	0	1	0	1	0	44	43	1	0
LOC109499271	0	0	0	0	0	0	0	0	0	0	0	22	39	0	0
LOC109499252	0	0	0	0	3	0	0	0	0	0	0	14	4	0	0
LOC102900112	26	12	17	115	17	15	17	132	87	6	9	100	159	48	44
ATP11A	1733	1056	1583	1333	485	1095	414	477	395	548	606	316	308	284	302
LOC111560214	12	21	9	8	2	13	1	0	0	0	0	7	5	0	0
MCF2L	313	288	170	282	83	152	0	1	2	0	2	233	264	3	0
LOC109499308	0	3	1	3	0	2	0	0	0	0	0	10	19	0	0
F7	2	2	1	1	16	2	0	0	2	1	0	47	50	0	0
F10	4	6	7	5	9	4	2	0	0	0	2	44	47	0	0
PCID2	707	639	629	386	131	526	665	742	684	792	1031	123	136	500	593
CUL4A	1784	1679	1715	904	320	1360	2075	2154	1842	2367	3312	320	288	1400	1537
LOC111560228	531	315	486	291	91	293	161	108	82	128	165	102	134	53	102
LAMP1	6393	6207	7585	3417	1585	5151	9989	13723	11680	10033	12281	207	157	8449	10177
GRTP1	27	36	26	15	22	10	22	26	21	27	22	41	27	35	45
LOC111560226	5	2	1	1	3	0	0	0	0	0	0	16	21	0	0
LOC105260444	2	4	6	3	13	7	12	22	20	31	32	51	66	28	35
ADPRHL1	7	6	8	2	16	2	102	175	165	331	403	101	81	267	337
DCUN1D2	386	359	153	66	43	101	231	188	181	232	295	63	97	84	125
TMCO3	966	838	856	394	183	641	1670	2364	1958	2202	2570	149	145	1310	1461
LOC102900920	0	1	7	4	2	3	1	1	1	0	1	21	18	2	0
TFDP1	589	691	644	340	142	453	1466	1728	1363	1803	2257	310	215	1165	1318
ATP4B	3	0	3	3	3	3	5	0	0	2	1	53	46	2	0
GRK1	5	1	3	5	16	2	1	0	0	1	0	62	99	0	0
TMEM255B	3	4	1	1	11	0	0	3	0	3	0	69	80	0	2
GAS6	91	61	99	42	31	39	6432	15614	14788	14211	15337	74	71	7445	8607
CA1H13orf46	9	1	8	3	10	5	1	0	1	0	1	77	72	1	1
RASA3	33769	42656	42457	22425	8261	41497	4764	8049	6816	6671	7819	182	211	2594	3288
LOC109492661	1	2	0	1	2	0	0	0	0	0	0	15	24	0	0
LOC109499896	0	0	3	1	2	0	0	0	0	0	0	24	35	0	0
LOC111560168	2	0	2	0	1	0	0	0	0	0	0	14	17	0	0
CDC16	933	854	984	532	231	674	712	854	584	824	1186	84	51	506	622
LOC111560393	13	10	6	4	1	2	2	8	3	6	10	38	31	3	10
UPF3A	256	195	249	143	56	159	223	191	150	232	358	232	180	176	229
CHAMP1	177	149	115	151	52	85	68	67	53	66	115	210	205	60	62
LOC109499405	0	0	2	0	2	2	1	0	0	0	1	30	10	1	0
LOC101099772	3	0	0	0	2	0	0	0	0	0	0	3	9	0	0
LOC101094075	3	0	0	2	4	1	0	0	0	0	0	70	70	0	0
LOC101100025	0	0	0	0	3	3	0	0	0	0	0	54	77	0	0
LOC101100275	1	1	0	0	5	0	0	0	0	0	0	42	42	0	0
LOC101094566	0	0	0	0	1	1	0	0	0	0	0	42	50	0	0
LOC101100535	5	2	0	1	3	1	0	0	0	1	0	12	15	0	0
LOC101094818	1	0	0	0	5	0	0	0	0	0	0	31	32	0	0
LOC101100780	0	0	0	0	1	0	0	0	0	0	0	59	73	0	0
LOC101101026	0	0	0	2	6	0	0	0	0	0	0	29	32	0	0
LOC101101283	1	1	0	0	2	0	0	0	0	0	0	14	21	0	0
LOC101095073	0	1	0	0	3	0	0	0	0	0	0	21	36	0	0
LOC101080353	0	0	0	2	3	0	0	0	0	0	0	8	18	0	0
LOC101095308	2	0	1	0	3	1	0	0	0	0	0	17	29	0	0
LOC101081111	1	0	2	2	7	0	0	0	0	0	1	31	47	0	0
LOC101084082	0	0	1	0	5	0	0	0	0	0	0	54	58	0	0
LOC102899961	1	0	0	1	4	0	0	0	0	0	0	23	26	0	0
LYPD8	1	2	1	0	8	0	1	0	0	0	1	42	61	0	0
SH3BP5L	322	269	282	126	79	196	392	504	460	594	678	151	126	299	331
ZNF672	273	153	223	206	64	181	76	58	60	66	69	102	102	15	24
ZNF692	611	595	480	222	85	314	98	104	98	137	144	106	133	63	83
LOC111560286	1	0	0	0	2	0	0	0	0	0	0	9	8	0	0
TRNAL-CAA	1	0	1	0	0	0	7	3	14	11	5	17	19	0	1
TRNAE-CUC	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PGBD2	180	211	194	100	25	150	262	378	319	418	446	79	78	185	214
LOC111556715	3	2	3	3	3	5	2	1	2	0	2	5	9	1	0
LOC101085852	2	0	0	1	3	2	0	0	0	0	0	22	23	0	0
LOC101086111	4	3	0	0	2	0	0	0	0	0	0	11	30	0	0
LOC101086367	0	0	0	0	4	0	0	0	0	0	0	27	46	0	0
LOC101086869	1	0	0	0	3	0	0	0	0	0	0	45	45	0	0
LOC101087125	5	2	1	1	16	1	0	2	0	0	0	54	94	0	0
LOC101087376	0	0	0	0	3	0	0	0	0	0	0	64	97	0	0
LOC101087635	0	1	1	0	3	0	0	0	0	0	0	35	49	0	0
LOC101087896	0	0	1	0	1	0	0	0	0	0	0	6	12	0	0
LOC111556948	0	0	0	0	3	1	0	0	0	0	0	28	27	0	0
LOC111556985	4	0	2	0	2	0	0	0	0	0	0	23	37	0	0
LOC102900767	0	0	0	1	1	0	0	0	0	0	0	36	29	0	0
LOC101088904	1	0	0	1	3	0	0	0	0	0	0	12	13	0	0
TRIM58	246	291	201	194	65	168	0	0	0	0	0	29	54	0	0
LOC101082541	0	0	1	0	2	0	0	0	0	0	0	40	59	0	0
LOC101089671	3	0	3	0	4	0	0	0	0	0	0	35	42	0	0
LOC109492694	1	1	0	0	2	1	0	0	0	0	0	13	20	0	0
LOC109499504	0	2	0	0	2	0	0	0	0	0	0	6	6	0	0
LOC101089917	0	0	0	1	1	0	0	0	0	0	0	39	42	0	0
LOC101082797	0	0	1	1	3	0	0	0	0	0	0	11	24	0	0
LOC101090164	1	0	1	1	6	1	0	0	0	0	0	36	41	0	0
LOC101083056	0	2	1	0	1	1	0	0	0	0	0	22	38	0	0
LOC109500764	0	0	2	1	5	1	0	0	0	0	1	76	91	0	0
LOC105260451	0	1	0	0	3	0	0	0	0	0	0	27	51	0	0
LOC109500775	2	1	1	0	5	0	0	0	0	0	0	22	19	0	0
LOC101080302	0	1	2	0	6	0	0	0	0	0	0	28	32	0	0
LOC101101231	1	0	0	1	1	0	0	0	0	0	0	26	44	0	0
LOC101100977	0	0	0	0	2	1	0	0	1	0	0	28	50	0	1
LOC101099980	0	0	0	0	3	1	0	0	0	0	0	4	8	0	0
LOC101098527	0	0	0	1	1	0	0	0	0	0	0	9	17	0	0
LOC101093328	0	0	0	0	4	0	1	2	0	0	0	3	5	0	0
LOC101093577	0	0	0	0	3	0	0	0	0	0	0	12	18	0	0
LOC101093829	0	1	0	0	2	0	0	0	0	0	0	8	8	0	0
LOC101091078	0	2	0	0	5	0	0	0	0	0	0	31	38	0	0
LOC101094321	0	0	0	0	1	1	0	0	0	0	0	0	9	0	0
LOC101091338	0	0	0	0	2	0	0	0	0	0	0	48	50	0	0
LOC101091589	0	1	0	0	3	1	1	0	0	0	0	16	25	0	0
LOC101091839	2	0	1	5	4	0	0	0	0	0	0	10	18	0	0
LOC101094567	2	0	0	0	2	0	0	0	0	0	0	25	13	0	0
LOC101094819	1	3	0	0	3	0	0	0	0	0	0	36	36	0	0
GCSAML	255	292	269	161	107	206	0	0	0	0	0	9	27	0	0
LOC101095546	0	0	1	1	2	0	0	0	0	0	0	41	50	0	0
LOC101095792	0	1	1	0	3	0	0	0	0	0	0	19	32	0	0
LOC101096031	0	1	1	1	1	0	0	0	0	0	0	7	7	0	0
LOC101096283	5	10	3	0	8	1	0	0	0	0	0	9	13	0	0
LOC109492731	2784	1779	3130	837	731	2075	7	13	4	5	6	14	10	3	0
LOC101096535	0	0	0	1	3	0	0	0	3	0	0	18	32	0	0
LOC101096784	0	0	1	0	3	0	0	0	0	0	0	26	28	0	0
LOC101097040	2	0	0	0	18	2	0	0	0	0	0	41	54	0	0
NLRP3	659	223	628	190	166	366	0	0	0	0	1	116	134	0	0
ZNF496	266	262	177	160	61	160	1149	1636	1359	1714	2041	97	121	838	924
LOC101097294	0	0	0	0	1	1	0	0	0	0	0	5	13	0	0
BTNL10	8	5	2	25	7	1	2	0	0	0	0	9	10	0	0
LOC101097782	9	7	4	34	8	1	0	0	0	0	0	59	116	0	0
LOC102901766	49	27	33	16	19	35	24	43	33	33	62	37	21	13	26
RNF187	986	884	962	491	215	751	542	552	572	711	802	112	68	394	524
LOC101098354	336	326	276	186	68	282	57	45	36	86	87	38	36	29	34
LOC101098601	139	105	132	68	27	103	150	126	88	178	215	89	85	55	87
LOC101101285	2	3	0	1	6	2	0	0	0	0	0	74	72	0	0
TRIM17	1	3	1	3	1	2	1	0	1	1	2	49	61	2	0
LOC102899256	10	8	7	5	1	2	1	1	2	1	6	3	4	1	1
TRIM11	468	391	492	210	82	365	316	305	309	399	440	85	50	215	236
OBSCN	660	334	413	396	297	298	200	200	167	221	257	834	948	105	113
IBA57	200	191	207	115	80	231	30	72	79	29	46	36	29	57	73
GJC2	22	17	22	12	13	18	3	3	0	1	3	22	29	2	1
GUK1	1318	1324	1556	675	311	964	835	1065	979	1111	1247	131	80	1309	1439
MRPL55	295	254	318	220	63	202	315	338	287	418	479	54	38	247	258
CA1H1orf35	646	649	614	330	135	445	414	406	437	493	631	399	215	339	411
ARF1	5736	6380	6341	3128	1225	4778	5928	6823	6066	7338	8759	546	283	4823	5609
WNT3A	0	1	2	1	4	1	0	0	0	0	0	56	59	0	0
WNT9A	15	8	10	6	8	5	31	43	24	37	50	138	124	27	24
PRSS38	2	2	1	0	2	0	0	0	0	0	0	47	58	0	0
SNAP47	84	74	65	49	18	55	74	102	102	83	114	79	72	101	77
JMJD4	832	650	575	343	139	416	501	509	442	404	531	165	237	299	440
LOC109492746	1	0	3	1	8	1	0	0	0	0	0	83	65	0	0
LOC109497082	1	6	3	5	15	2	0	0	0	0	1	49	76	1	0
LOC109497081	3	1	0	0	5	0	1	0	0	0	0	39	47	0	0
LOC111557322	3	3	3	1	15	3	0	0	0	0	0	41	62	0	0
LOC111560439	711	641	591	364	126	451	195	251	236	248	298	64	89	148	195
MGAT1	10235	8725	7957	4950	1852	6920	3962	4641	4220	4542	5477	235	198	4119	4830
LOC109499602	28	17	22	13	11	10	4	2	0	3	0	92	121	0	6
ZFP62	1966	1661	1496	787	365	975	385	550	382	472	738	198	183	325	390
BTNL9	13	10	3	6	6	2	2	2	0	0	0	94	132	0	0
LOC101093739	0	0	0	0	0	0	0	0	0	0	0	4	9	0	0
